tenant_id;empresa_id;item_id;codigo;item;saldo_atual;sugestao_ajuste_para_zero;ent_total;sai_total;ajuste_total;ent_os_nf;sai_os_sem_origem;sai_com_origem;qtd_os_refs;flag_dupla_saida_prob
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;180;3RH29111HA22;BLOC.CONT.AUX.FRONT 2NA+2NF S00-S3 PARAF;-15;15;25;40;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;744;5SV53440MB;DR 3PN 40A 30MA, AC, 5SV5 344-0MB;-15;15;25;40;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;750;5SL12067MB;DISJ 2P C 6A 5SL1 206-7MB;-15;15;25;40;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1135;54034086583;CABO EPR 1KV-FLEX 90G   10,00MM BC                       CORFIO;-15;15;15;30;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1104;12428128;DISJUNTOR-MOTOR AZ MPW40-3-U016 AZUL 10-16 A;-15;15;15;30;0;15;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;799;3RV29012E;CONTATO AUX. FRONTAL 1NA1NF PARA 3RV2;-14;14;14;28;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;191;6ES71316BH010BA0;ET200SP: 16X DI 24VDC ST;-13;13;14;27;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;875;GA50U2006ABA;CONVERSOR FREQ TRIF GA500, 220V, 6,0/5,0A, IP20;-13;13;13;26;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;210;5SL11167MB;DISJ 1P C 16A 5SL1 116-7MB;-13;13;37;50;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;798;3RV20111BA20;DISJUNTOR MOTOR SIRIUS 3RV2 1,4-2A;-13;13;15;28;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1532;54034016583;CABO EPR 1KV-FLEX 90G   16,00MM AZ                       CORFIO;-12;12;12;24;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;729;6ES71366BA010CA0;MODULO ET200SP DI 8X24VDC HF FAILSAFE;-12;12;12;24;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;253;3SU14001AA101CA0;BLOCO CONTATO MONT FRONT PARA 1NF;-12;12;125;137;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;185;3RV20214DA10;DISJUNTOR INNOV 3RV2021-4DA10 18-25A;-12;12;19;31;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1530;54034017583;CABO EPR 1KV-FLEX 90G   16,00MM PT                       CORFIO;-12;12;12;24;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;728;6ES71326BH010BA0;ET200SP: 16x DQ 24VDC0,5A ST;-12;12;12;24;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1107;12240801;CONTATOR CWB32-11-30C03 24V DC;-10;10;10;20;0;10;0;0;0;false
